2026-04-28T01:38:26.701554Z [info     ] Starting Anything2Markdown pipeline [anything2markdown.cli]
2026-04-28T01:38:26.702551Z [info     ] Input directory                [anything2markdown.cli] path='G:\\Program Files\\AI coding\\知识萃取\\商业模式\\输入'
2026-04-28T01:38:26.711059Z [info     ] Output directory               [anything2markdown.cli] path='G:\\Program Files\\AI coding\\知识萃取\\商业模式\\输出'
2026-04-28T01:38:26.715047Z [warning  ] Repomix not found. Install with: npm install -g repomix [anything2markdown.url_parsers.repomix_parser]
2026-04-28T01:38:26.716043Z [info     ] Starting Anything2Markdown pipeline [anything2markdown.pipeline] input_dir='G:\\Program Files\\AI coding\\知识萃取\\商业模式\\输入' output_dir='G:\\Program Files\\AI coding\\知识萃取\\商业模式\\输出'
2026-04-28T01:38:26.717040Z [info     ] Processing items in parallel   [anything2markdown.pipeline] count=26 max_workers=8 task_type=api
2026-04-28T01:38:26.717542Z [info     ] Processing file                [anything2markdown.pipeline] file=1.业务不变，营收秒变（X50）的商业模式_笔记.pdf
2026-04-28T01:38:26.718542Z [info     ] Processing file                [anything2markdown.pipeline] file='10.农村包围城市，“定位 并购”模式_笔记.pdf'
2026-04-28T01:38:26.719541Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=1.业务不变，营收秒变（X50）的商业模式_笔记.pdf
2026-04-28T01:38:26.719541Z [info     ] Processing file                [anything2markdown.pipeline] file=11.渠道模式分析_笔记.pdf
2026-04-28T01:38:26.720538Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file='10.农村包围城市，“定位 并购”模式_笔记.pdf'
2026-04-28T01:38:26.721534Z [info     ] Processing file                [anything2markdown.pipeline] file='12.销地产 产地销，规模成王的模式_笔记.pdf'
2026-04-28T01:38:26.722531Z [info     ] Processing file                [anything2markdown.pipeline] file=13.专注男装砍掉女装，类直营模式_笔记.pdf
2026-04-28T01:38:26.722531Z [info     ] Processing file                [anything2markdown.pipeline] file=14.“师傅带徒弟，徒弟带徒孙”的机制_笔记.pdf
2026-04-28T01:38:26.723528Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=11.渠道模式分析_笔记.pdf
2026-04-28T01:38:26.723528Z [info     ] Processing file                [anything2markdown.pipeline] file=15.三阶段合伙人的模式_笔记.pdf
2026-04-28T01:38:26.724524Z [info     ] Processing file                [anything2markdown.pipeline] file=16.廉价航空，净利润超过10％的模式_笔记.pdf
2026-04-28T01:38:26.724524Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file='12.销地产 产地销，规模成王的模式_笔记.pdf'
2026-04-28T01:38:26.725523Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=13.专注男装砍掉女装，类直营模式_笔记.pdf
2026-04-28T01:38:26.855143Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=14.“师傅带徒弟，徒弟带徒孙”的机制_笔记.pdf
2026-04-28T01:38:26.874617Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=15.三阶段合伙人的模式_笔记.pdf
2026-04-28T01:38:26.875613Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=16.廉价航空，净利润超过10％的模式_笔记.pdf
2026-04-28T01:38:27.855760Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=1822 file=11.渠道模式分析_笔记.pdf output=11.渠道模式分析_笔记.md
2026-04-28T01:38:27.889866Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=2278 file=15.三阶段合伙人的模式_笔记.pdf output=15.三阶段合伙人的模式_笔记.md
2026-04-28T01:38:27.970772Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=437 file='10.农村包围城市，“定位 并购”模式_笔记.pdf' output='10.农村包围城市，“定位 并购”模式_笔记.md'
2026-04-28T01:38:27.999485Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=2042 file=16.廉价航空，净利润超过10％的模式_笔记.pdf output=16.廉价航空，净利润超过10％的模式_笔记.md
2026-04-28T01:38:28.173442Z [info     ] Processing file                [anything2markdown.pipeline] file=17.先掺后控，打造符合资本的商业模式_笔记.pdf
2026-04-28T01:38:28.184929Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=1508 file=1.业务不变，营收秒变（X50）的商业模式_笔记.pdf output=1.业务不变，营收秒变（X50）的商业模式_笔记.md
2026-04-28T01:38:28.189136Z [info     ] Processing file                [anything2markdown.pipeline] file='18.“连锁 并购基金”的模式_笔记.pdf'
2026-04-28T01:38:28.193122Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=17.先掺后控，打造符合资本的商业模式_笔记.pdf
2026-04-28T01:38:28.198611Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=2079 file=14.“师傅带徒弟，徒弟带徒孙”的机制_笔记.pdf output=14.“师傅带徒弟，徒弟带徒孙”的机制_笔记.md
2026-04-28T01:38:28.198611Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=2067 file=13.专注男装砍掉女装，类直营模式_笔记.pdf output=13.专注男装砍掉女装，类直营模式_笔记.md
2026-04-28T01:38:28.226956Z [info     ] Low valid chars for short PDF, fallback to OCR [anything2markdown.router] threshold=500 valid_chars=404
2026-04-28T01:38:28.238948Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file='18.“连锁 并购基金”的模式_笔记.pdf'
2026-04-28T01:38:28.273282Z [info     ] Processing file                [anything2markdown.pipeline] file=19.药明康德，G级代工，研发外包模式，打造医药行业“富士康”模式_笔记.pdf
2026-04-28T01:38:28.274320Z [info     ] Falling back to PaddleOCR-VL   [anything2markdown.pipeline] file='10.农村包围城市，“定位 并购”模式_笔记.pdf'
2026-04-28T01:38:28.276820Z [info     ] Processing file                [anything2markdown.pipeline] file='2.ODM OEM，超过耐K、A迪净利的商业模式_笔记.pdf'
2026-04-28T01:38:28.280832Z [info     ] Processing file                [anything2markdown.pipeline] file=20.红星美凯龙，比轻资产更轻，委托管理模式_笔记.pdf
2026-04-28T01:38:28.281830Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file='2.ODM OEM，超过耐K、A迪净利的商业模式_笔记.pdf'
2026-04-28T01:38:28.308354Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=2325 file='12.销地产 产地销，规模成王的模式_笔记.pdf' output='12.销地产 产地销，规模成王的模式_笔记.md'
2026-04-28T01:38:28.328325Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=19.药明康德，G级代工，研发外包模式，打造医药行业“富士康”模式_笔记.pdf
2026-04-28T01:38:28.338815Z [info     ] Processing file                [anything2markdown.pipeline] file='21.尚品宅配，柔性生产链，C2B O2O的模式分析_笔记.pdf'
