2026-04-25T16:26:30.540127Z [info     ] Starting chunking pipeline     [markdown2chunks.pipeline] input_dir='G:\\Program Files\\AI coding\\知识萃取\\新能源\\输出' output_dir='G:\\Program Files\\AI coding\\知识萃取\\新能源\\输出\\chunks'
2026-04-25T16:26:30.544079Z [info     ] Found files                    [markdown2chunks.pipeline] json=1 markdown=26
2026-04-25T16:26:30.553679Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-《关于优化集中式新能源发电企业市场报价的通知（试行）》深度解读与战略分析.md
2026-04-25T16:26:30.665584Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-《关于优化集中式新能源发电企业市场报价的通知（试行）》深度解读与战略分析.md
2026-04-25T16:26:30.666638Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-三一硅能非洲调研报告：在非洲如何做矿山微电网？.md
2026-04-25T16:26:30.673655Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-三一硅能非洲调研报告：在非洲如何做矿山微电网？.md
2026-04-25T16:26:30.673655Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-乌克兰新能源市场机会调研报告.md
2026-04-25T16:26:30.683004Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-乌克兰新能源市场机会调研报告.md
2026-04-25T16:26:30.684026Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-兆瓦云调研报告：虚拟电厂的下一城在哪里？.md
2026-04-25T16:26:30.688544Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-兆瓦云调研报告：虚拟电厂的下一城在哪里？.md
2026-04-25T16:26:30.689570Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-则鸣新能源调研报告：怎么样做好微电网？.md
2026-04-25T16:26:30.694074Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-则鸣新能源调研报告：怎么样做好微电网？.md
