2026-04-30T11:47:18.516572Z [info     ] Starting extraction pipeline   [chunks2skus.pipeline] chunks_dir='G:\\Program Files\\AI coding\\知识萃取\\商业模式资本\\输出\\chunks' force_reset=False output_dir='G:\\Program Files\\AI coding\\知识萃取\\商业模式资本\\输出\\skus'
2026-04-30T11:47:18.517689Z [info     ] Loaded chunks                  [chunks2skus.router] count=61
2026-04-30T11:47:18.518686Z [info     ] Processing chunks              [chunks2skus.pipeline] total=61
2026-04-30T11:47:18.518686Z [info     ] Submitting chunk for Factual/Procedural [chunks2skus.pipeline] chunk_id=2025财富破局从商业模式开始_chunk_001
2026-04-30T11:47:18.519971Z [info     ] Submitting chunk for Factual/Procedural [chunks2skus.pipeline] chunk_id=商业创新案例_chunk_001
2026-04-30T11:47:18.521218Z [info     ] Extracting factual knowledge   [chunks2skus.extractors.factual_extractor] chunk_id=2025财富破局从商业模式开始_chunk_001
2026-04-30T11:47:18.521218Z [info     ] Submitting chunk for Factual/Procedural [chunks2skus.pipeline] chunk_id=商业模式与资本运营_chunk_001
2026-04-30T11:47:18.522223Z [info     ] [MONITOR] call_llm_json starting [chunks2skus.utils.llm_client] model=doubao-seed-2-0-pro-260215
2026-04-30T11:47:18.523505Z [info     ] Extracting factual knowledge   [chunks2skus.extractors.factual_extractor] chunk_id=商业创新案例_chunk_001
2026-04-30T11:47:18.523505Z [info     ] [MONITOR] Creating thread-local OpenAI client [chunks2skus.utils.llm_client] base_url=https://ark.cn-beijing.volces.com/api/v3 thread=ThreadPoolExecutor-1_0
2026-04-30T11:47:18.523505Z [info     ] Submitting chunk for Factual/Procedural [chunks2skus.pipeline] chunk_id=商业模式与资本运营_chunk_002
2026-04-30T11:47:18.523505Z [info     ] [MONITOR] call_llm_json starting [chunks2skus.utils.llm_client] model=doubao-seed-2-0-pro-260215
2026-04-30T11:47:18.525619Z [info     ] Extracting factual knowledge   [chunks2skus.extractors.factual_extractor] chunk_id=商业模式与资本运营_chunk_001
2026-04-30T11:47:18.525619Z [info     ] [MONITOR] Creating thread-local OpenAI client [chunks2skus.utils.llm_client] base_url=https://ark.cn-beijing.volces.com/api/v3 thread=ThreadPoolExecutor-1_1
2026-04-30T11:47:18.525619Z [info     ] Submitting chunk for Factual/Procedural [chunks2skus.pipeline] chunk_id=商业模式创新案例大全_chunk_001
2026-04-30T11:47:18.525619Z [info     ] [MONITOR] call_llm_json starting [chunks2skus.utils.llm_client] model=doubao-seed-2-0-pro-260215
2026-04-30T11:47:18.526752Z [info     ] Submitting chunk for Factual/Procedural [chunks2skus.pipeline] chunk_id=商业模式创新案例大全_chunk_002
2026-04-30T11:47:18.527748Z [info     ] [MONITOR] Creating thread-local OpenAI client [chunks2skus.utils.llm_client] base_url=https://ark.cn-beijing.volces.com/api/v3 thread=ThreadPoolExecutor-1_2
2026-04-30T11:47:18.527748Z [info     ] Extracting factual knowledge   [chunks2skus.extractors.factual_extractor] chunk_id=商业模式与资本运营_chunk_002
2026-04-30T11:47:18.527748Z [info     ] Submitting chunk for Factual/Procedural [chunks2skus.pipeline] chunk_id=定位战略塑造产品卖点_chunk_001
2026-04-30T11:47:18.528971Z [info     ] [MONITOR] call_llm_json starting [chunks2skus.utils.llm_client] model=doubao-seed-2-0-pro-260215
2026-04-30T11:47:18.528971Z [info     ] Submitting chunk for Factual/Procedural [chunks2skus.pipeline] chunk_id=新资本商业模式与盈利模式_chunk_001
2026-04-30T11:47:18.530159Z [info     ] [MONITOR] Creating thread-local OpenAI client [chunks2skus.utils.llm_client] base_url=https://ark.cn-beijing.volces.com/api/v3 thread=ThreadPoolExecutor-1_3
